Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
AvgDialog_13054_Content_85,adtX,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,154,AvgDialog,Content,,"相似的青涩，如出一辙的坚韧意志。
他就是你认知中的奥吉尔，毫无疑问。","The same youthful innocence, the same resilient will.\nHe is undoubtedly the Ogier you know."
AvgDialog_13054_Content_91,adue,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,160,AvgDialog,Content,玩家,"好啦，我不会把这些事告诉公主的。
别太着急，眼泪都要掉下来了。","Alright, alright, I won't tell the princess anything.\nDon't be so worried; your tears are about to fall."
Stage_20438_Desc,aROP,g关卡_Stage_A.csv,1790,Stage,Desc,,梦境不会永远美满，正如美妙的歌谣不会永远奏响。,"Dreams are not sweet forever, just as beautiful melodies do not play forever."
Stage_20433_Desc,aROA,g关卡_Stage_A.csv,1792,Stage,Desc,,梦境不会永远美满，正如美妙的歌谣不会永远奏响。,"Dreams are not sweet forever, just as beautiful melodies do not play forever."
Stage_20427_Desc,aROi,g关卡_Stage_A.csv,1793,Stage,Desc,,梦境不会永远美满，正如美妙的歌谣不会永远奏响。,"Dreams are not sweet forever, just as beautiful melodies do not play forever."
AvgDialog_13053_Content_2,adrR,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,180,AvgDialog,Content,,“梦境”,"In the ""Dream"""
AvgDialog_13053_Content_11,adrI,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,189,AvgDialog,Content,玩家,"就让奥吉尔一起来守卫行宫吧。
他可是名正言顺、大公钦定的守护骑士，不是吗？","Let Ogier stay to guard the palace.\nHe is, after all, a legitimate Guardian Knight appointed by the Grand Duke, isn't he?"
AvgDialog_13053_Content_22,adrU,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,200,AvgDialog,Content,,瘟疫在公国无序传播，王公贵族也未能幸免。公主在战争开始前就染了病，时至今日，她连离开床榻的力气都没有了。,"The plague spread unchecked through the Duchy, sparing not even the nobility. The princess fell ill before the war began, and now, she lacks even the strength to leave her bed."
AvgDialog_13053_Content_23,adrV,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,201,AvgDialog,Content,,宫廷医生更是直言，公主已经无法承受搬离行宫的奔波，轻微的颠簸都可能让她失去生命。,The court physician declared her too frail to be moved from the palace—even the slightest jolt could take her life.
AvgDialog_13053_Content_25,adrX,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,203,AvgDialog,Content,奥吉尔,"无论您怎么说，我都不会离开这里。请允许我的守护，让我…
尽骑士之责。","No matter what you say, I won't leave. Please allow me to protect you...\nto fulfill my knightly oath."
AvgDialog_13053_Content_27,adrZ,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,205,AvgDialog,Content,公主,……不要太靠近我的房间。瘟疫已经无法挽回，至少…不要让你们也染上。,"...Then don't get too close to my room. The plague is irreversible, so at least... don't let it infect you as well."
AvgDialog_13053_Content_28,adsa,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,206,AvgDialog,Content,公主,"水钟每流尽一次，就来和我说话，好吗？
等我不再回应的时候…你们就离开吧。","Every time the water clock empties, come speak to me, alright?\nWhen I no longer respond... you should all leave."
AvgDialog_13052_Content_7,adrD,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,228,AvgDialog,Content,,"能以肉眼观测融蚀现象的人，万中无一。
奥吉尔就是其中一个不幸的幸运儿。","Those who can visually observe the Dissolution Phenomenon are extremely rare. Ogier is one of the unfortunate, yet fortunate, few."
AvgDialog_13050_Content_2,adqx,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,242,AvgDialog,Content,护卫骑士,和看不见的敌人作战还是头一遭，等这些事儿都结束了，咱们可以去找个吟游诗人把故事写下来，写成一首歌怎么样？,"It's my first time fighting invisible enemies. When all this is over, we should find a bard to turn the story into a song—how about that?"
AvgDialog_13050_Content_11,adqo,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,251,AvgDialog,Content,护卫骑士,不过…瘟疫会化成怪物，普通人还没法看见？,However... the plague takes the form of monsters that ordinary people cannot see?
AvgDialog_13050_Content_12,adqp,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,252,AvgDialog,Content,护卫骑士,真的太荒诞了，就算让宫廷诗人传唱，恐怕也没几人会信吧。,"It sounds truly absurd. Even if the court poets were to sing of it, few would likely believe it."
AvgDialog_13050_Content_23,adqB,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,263,AvgDialog,Content,,护卫骑士咳嗽了一下，混杂着肉块组织的鲜血从喉咙涌出。他难以置信地瞪大双眼，茫然又恐惧。,"The Guardian Knight coughs, blood mixed with tissue fragments gushing from his throat. His eyes widen in disbelief, filled with confusion and fear."
AvgDialog_13051_Content_12,adqM,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,275,AvgDialog,Content,玩家,别用他的死苛责自己，那些@1怪物神出鬼没，我们已经尽力了。,Don't blame yourself for this. Those @1 monsters strike without warning. We did all that we could.
AvgDialog_13051_Content_13,adqN,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,276,AvgDialog,Content,,"奥吉尔摇摇头，你苍白的安慰显然没能安慰到他。
这时，身后传来了轻微的叩门声。","Ogier shakes his head; your shallow comfort clearly failed to soothe him.\nJust then, a faint knock comes from behind."
AvgDialog_13056_Content_4,adwi,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,297,AvgDialog,Content,,公主难得离开房间，倚在二楼走廊的栏杆上，悠然地看着你们在大厅忙活，前来觐见的奥吉尔则紧张得都不知道该如何下脚。,"The princess left her room—a rare occurrence. She leaned against the railing of the second-floor corridor, leisurely watching the two of you bustle about in the hall below. Ogier, who had come for an audience, was so nervous he didn't know where to place his feet."
AvgDialog_13056_Content_7,adwP,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,300,AvgDialog,Content,,"奥吉尔猛地把你一推，塞进了矮几之下。
你的视角天旋地转，最后只能看见华贵的波斯毯被火焰烧得卷了边。","Ogier shoves you hard, pushing you under the low table.\nYour vision spins, and all you can see is the luxurious Persian rug curling at the edges due to the flames."
AvgDialog_13056_Content_22,advP,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,315,AvgDialog,Content,,"抵抗在绝对的力量悬殊前，是苍白的。
士官轻松地挑开奥吉尔的长枪，把一把匕首推进了他的胸口。","Resistance is a fickle thing in the face of absolute power.\nThe sergeant effortlessly parries Ogier's spear, and with a casual flick of his wrist, drives a dagger deep into the boy's chest."
AvgDialog_13056_Content_24,advR,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,317,AvgDialog,Content,士官,"看到了吗？这才是你该学的技巧。
毕竟国家覆灭后，你们只配待在不见天日的黑街里。","See? This is the kind of skill you should learn.\nAfter your nation falls, you'll only belong in the sunless back alleys."
AvgDialog_13056_Content_26,advT,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,319,AvgDialog,Content,,鲜血涌进气管，带起了沉闷的痛苦，又像在陆地上溺了水，每次呼吸都喷呛着血的气息。,"Blood surges into his windpipe, creating a dull, suffocating agony, like drowning on land. Each breath chokes on the scent of blood."
AvgDialog_13056_Content_27,advU,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,320,AvgDialog,Content,,"你想冲出矮几，想把楼梯边的士官推下楼，想保护跪在门前的奥吉尔。
但这具身体却突然颤抖着、僵硬着，不再听你的使唤。","You want to rush out from under the low table, to shove the sergeant down the stairs, to protect Ogier kneeling by the door.\nBut your body betrays you. Trembling, rigid, it refuses to obey."
AvgDialog_13056_Content_39,adwh,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,332,AvgDialog,Content,斥候,"小弟弟，看你这么执着的样子，不会在保护什么吧？
公主是不是就在门后面？","Look at you, little one, so determined... Are you protecting someone? Is the princess behind this door?"
AvgDialog_13056_Content_50,adwu,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,343,AvgDialog,Content,斥候,"诶呦——别这么残忍嘛。
这么折磨她的骑士，万一“女巫公主”诅咒了我们怎么办？","Aww—don't be so cruel.\nWhat if the ""Witch Princess"" puts a curse on us for torturing her knight?"
AvgDialog_13056_Content_56,adwA,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,349,AvgDialog,Content,奥吉尔,<Small:不行……不要出…不……进……>,<Small:No... don't come out... No... leave...>
AvgDialog_13056_Content_70,adwQ,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,363,AvgDialog,Content,朵尔,和你链接的唤醒体，包括我，或多或少都感觉到了异常。,"Awakeners linked to you, including me, more or less sensed abnormalities."
AvgDialog_13056_Content_72,adwS,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,365,AvgDialog,Content,,"你向朵尔描绘了荒诞梦境中的一切。
公主、骑士、瘟疫……","You describe everything in the absurd dream to Doll.\nThe princess, the knights, the plague..."
AvgDialog_13056_Content_74,adwU,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,367,AvgDialog,Content,朵尔,目前看来，这种“入梦”并没有对你造成进一步影响，我会继续密切监控你的精神波形。,"It seems that this ""dream"" hasn't resulted in any further effects. I'll keep monitoring your spirit waves closely."
AvgDialog_13056_Content_76,adwW,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,369,AvgDialog,Content,,被融蚀浆吞噬的感觉太过真实，清晨的阳光照在了被子上，本该感到融融暖意的身体却因此如坠冰窟。,"The feeling of being devoured by D-Slime was all too real. The morning sun shines on the blanket, but the warmth that should feel comforting now makes your body feel as if it is plunged into icy water."
AvgDialog_13056_Content_78,adwY,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,371,AvgDialog,Content,,"弥萨格大学 训练场
清晨",Mythag University Training Ground\nMorning
AvgDialog_13056_Content_81,adxc,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,374,AvgDialog,Content,奥吉尔,"汉娜小姐再坚持一会儿，还有一圈就结束了。
这次体能测试您一定能顺利通过！","Just a bit longer, Miss Hanna—one more lap and we're done.\nYou'll definitely pass the physical test this time!"
AvgDialog_13056_Content_93,adxp,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,386,AvgDialog,Content,奥吉尔,主君，请容我拒绝。融蚀危机近在眼前，我……现在的我，还没做好准备。,"My lord, please allow me to refuse. The Dissolution crisis is imminent, and I... I'm not ready yet."
AvgDialog_13056_Content_96,adxs,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,389,AvgDialog,Content,,那个和他一起在骑士团度过的午后突然跳进了脑海，某些你以为会随着梦醒而被遗忘的记忆浮现。,That afternoon spent with him in the Knights' Order suddenly appears in your mind. Memories you thought would fade with the dream resurface.
AvgDialog_13056_Content_101,advA,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,394,AvgDialog,Content,,你故意念叨着行程安排，自顾自离开训练场，心中一点担忧都没有。,"You mutter your itinerary on purpose, striding off without a backward glance. You feel no worry at all."
State_133994_Desc,bSqO,z状态表_State_A.csv,544,State,Desc,,所有唤醒体指令卡造成的伤害、力量、触腕伤害、固定中毒、固定反击的最终效果提高 [DescArg1]%，造成的护盾、生命回复、力量降低效果提高 [DescArg2]％。,"All Command Cards' Final DMG, STR & Tentacle DMG gain, and Fixed-value Poison & Counter inflicted each +[DescArg1]%; Their Final Shield gain, HP Recovery, and STR▼ inflicted +[DescArg2]%. "
State_126895_Desc,bNYx,z状态表_State_A.csv,554,State,Desc,,此卡牌造成的伤害、力量、触腕伤害、固定中毒、固定反击的最终效果提高 [DescArg1]%，造成的护盾、生命回复、力量降低效果提高 [DescArg2]％。拥有「奇点信标」的卡牌无法再复制进「超维空间」。,"This card's Final DMG, STR & Tentacle DMG gain, Fixed-value Poison & Counter each +[DescArg1]%; This card's Final Shield, HP Recovery, and STR▼ each +[DescArg2]%. Cards with ""Singularity Beacon"" cannot trigger ""Dimension Shuttle."""
State_134389_Desc,bSPP,z状态表_State_A.csv,555,State,Desc,,此卡牌造成的伤害、力量、触腕伤害、固定中毒、固定反击的最终效果提高 [DescArg1]%，造成的护盾、生命回复、力量降低效果提高 [DescArg2]％。拥有「奇点信标」的卡牌无法再复制进「超维空间」。,"This card's Final DMG, STR & Tentacle DMG gain, Fixed-value Poison & Counter each +[DescArg1]%; This card's Final Shield, HP Recovery, and STR▼ each +[DescArg2]%. Cards with ""Singularity Beacon"" cannot trigger ""Dimension Shuttle."""
